sep=,
DeviceTag:,RF-2,,,,,,,,,,,,,,,,,
FirmwareVersion:,2.1.0,,,,,,,,,,,,,,,,,
AppVersion:,2023.6.1,,,,,,,,,,,,,,,,,
SyncStatus:,Synced,,,,,,,,,,,,,,,,,
OutputRate:,60Hz,,,,,,,,,,,,,,,,,
FilterProfile:,General,,,,,,,,,,,,,,,,,
Measurement Mode:,Sensor fusion Mode - Extended (Euler),,,,,,,,,,,,,,,,,
StartTime:,2024-12-09 10:45:39.135 +0100,,,,,,,,,,,,,,,,,
 2024,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
1, 1773717154, 16.466222763061523, 3.4629054069519043, -177.24545288085938, 0.6252477, 0.72878057, 0.0073242188, 0
2, 1773733821, 16.557544708251953, 3.50150203704834, -178.5285186767578, 0.65149397, 0.3861907, -0.03563118, 0
3, 1773750488, 16.616106033325195, 3.583569288253784, -179.87274169921875, 0.56185067, 0.59571326, -0.33941936, 0
4, 1773767155, 16.720993041992188, 3.64595890045166, 178.7358856201172, 0.5432742, 0.5620211, -0.42986202, 0
5, 1773783822, 16.83692169189453, 3.677656412124634, 177.30755615234375, 0.6252497, 0.3289745, -0.4288969, 0
6, 1773800489, 16.954442977905273, 3.726019859313965, 175.85389709472656, 0.49641964, 0.124389544, -0.5048256, 0
7, 1773817156, 17.086637496948242, 3.800156831741333, 174.36715698242188, 0.47593313, 0.075990774, -0.40542316, 0
8, 1773833823, 17.237178802490234, 3.8616528511047363, 172.8576202392578, 0.5036979, 0.06109534, -0.32860374, 0
9, 1773850490, 17.391353607177734, 3.910554885864258, 171.334716796875, 0.4515588, -0.12194537, -0.36433887, 0
10, 1773867157, 17.543001174926758, 3.999370813369751, 169.80821228027344, 0.45178333, -0.14954503, -0.4489851, 0
11, 1773883824, 17.691022872924805, 4.12295389175415, 168.27633666992188, 0.3576855, -0.26531762, -0.45368958, 0
12, 1773900491, 17.8260498046875, 4.325449466705322, 166.73204040527344, 0.351848, -0.15130594, -0.38392544, 0
13, 1773917158, 17.96117401123047, 4.512680530548096, 165.173583984375, 0.37707213, -0.08349874, -0.2220335, 0
14, 1773933825, 18.09682273864746, 4.650542736053467, 163.600341796875, 0.5362324, 0.0042396495, -0.1433487, 0
15, 1773950492, 18.22138786315918, 4.716209888458252, 162.01832580566406, 0.44549412, -0.23418403, -0.12592316, 0
16, 1773967159, 18.331748962402344, 4.776238918304443, 160.4429931640625, 0.29926744, -0.45947438, -0.19781113, 0
