sep=,
DeviceTag:,LF-3
FirmwareVersion:,2.1.0
AppVersion:,2023.6.0
SyncStatus:,Un-synced
OutputRate:,60Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Extended(Euler)
StartTime: ,2024-12-10_14:33:40_192 CET
© Movella Technologies B. V. 2005-2024

PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
71,298112706,-1.903656,-44.594551,51.524158,0.010173,-0.044369,-0.484170,0
72,298129373,-1.840463,-44.590099,51.457138,0.017981,0.033738,-0.438657,0
73,298146040,-1.787672,-44.579273,51.402557,0.042773,0.022077,-0.458109,0
74,298162707,-1.736657,-44.573448,51.354607,0.048655,0.046315,-0.374911,0
75,298179374,-1.691904,-44.548306,51.336277,0.085866,0.030231,-0.375230,0
76,298196041,-1.627015,-44.509045,51.293495,0.027956,-0.010897,-0.408384,0
77,298212708,-1.563719,-44.471996,51.252117,-0.057396,-0.061915,-0.450316,0
78,298229375,-1.520670,-44.449696,51.208797,-0.037763,-0.076024,-0.428075,0
79,298246042,-1.477697,-44.432178,51.153511,0.048501,-0.017772,-0.401026,0
80,298262709,-1.424558,-44.400887,51.085537,0.105868,-0.000557,-0.359643,0
81,298279376,-1.369189,-44.362667,51.007568,0.043955,-0.031551,-0.370929,0
82,298296043,-1.324928,-44.329693,50.935337,0.011852,-0.032903,-0.410154,0
83,298312710,-1.285403,-44.298584,50.866756,0.002164,-0.111180,-0.444145,0
84,298329377,-1.244549,-44.275681,50.781979,0.018940,-0.125340,-0.480693,0
85,298346044,-1.197098,-44.257797,50.704445,0.069971,-0.092469,-0.433507,0
86,298362711,-1.162354,-44.232571,50.619644,0.057683,-0.132026,-0.459464,0
87,298379378,-1.130106,-44.225224,50.525738,0.096168,-0.134853,-0.458878,0
88,298396045,-1.096723,-44.207962,50.440109,0.201334,-0.049325,-0.440482,0
89,298412712,-1.047143,-44.175976,50.326973,0.085035,-0.122739,-0.480164,0
90,298429379,-0.978978,-44.149883,50.227955,0.165295,-0.011104,-0.382483,0
91,298446046,-0.872537,-44.095020,50.103035,0.030250,-0.138518,-0.428681,0
92,298462713,-0.761406,-44.068874,49.983822,-0.028930,-0.135345,-0.469007,0
93,298479380,-0.678267,-44.058048,49.866081,-0.021244,-0.107107,-0.385358,0
94,298496047,-0.599107,-44.051655,49.761551,-0.060922,-0.047180,-0.354712,0
95,298512714,-0.549280,-44.040295,49.670597,-0.073302,-0.062842,-0.456633,0
96,298529381,-0.546362,-44.037636,49.592716,0.005801,-0.171600,-0.476981,0
97,298546048,-0.514313,-44.050453,49.523861,0.116394,-0.124433,-0.537572,0
98,298562715,-0.490202,-44.071331,49.465557,0.056643,-0.050114,-0.452989,0
99,298579382,-0.537160,-44.098892,49.457336,0.065898,-0.089842,-0.362792,0
100,298596049,-0.666197,-44.085014,49.472137,0.002971,-0.167770,-0.209655,0
101,298612716,-0.716476,-44.093578,49.502037,0.042475,0.040883,-0.613822,0
102,298629383,-0.745476,-44.119564,49.516125,-0.073506,0.218104,-0.266323,0
103,298646050,-0.793976,-44.149208,49.527451,-0.069150,0.072703,-0.548829,0
104,298662717,-0.734540,-44.179596,49.516754,-0.045949,0.165514,-0.465706,0
105,298679384,-0.688883,-44.211441,49.489620,-0.248951,0.188140,-0.462541,0
106,298696051,-0.731223,-44.260075,49.431412,-0.232635,0.186561,-0.398818,0
107,298712718,-0.807155,-44.308456,49.382168,0.058949,0.202851,-0.378456,0
108,298729385,-0.853072,-44.320560,49.325371,0.167029,0.090309,-0.392633,0
109,298746052,-0.815096,-44.307236,49.255070,0.033238,0.114195,-0.369038,0
110,298762719,-0.786658,-44.275295,49.192959,-0.049618,0.238026,-0.377038,0
111,298779386,-0.828541,-44.226719,49.108650,-0.240122,0.162519,-0.291757,0
112,298796053,-0.994453,-44.193031,48.999580,0.030235,0.023291,-0.343407,0
113,298812720,-1.075464,-44.123077,48.862209,0.131675,-0.083887,-0.380725,0
114,298829387,-1.089815,-44.053028,48.748062,-0.021158,-0.142841,-0.428942,0
115,298846054,-1.218980,-44.007553,48.642624,0.161344,-0.053167,-0.341243,0
116,298862721,-1.277676,-43.904434,48.540760,0.199939,-0.111926,-0.503731,0
117,298879388,-1.292751,-43.817772,48.442772,0.019250,0.047036,-0.255191,0
118,298896055,-1.389602,-43.664181,48.330631,0.010975,0.207786,-0.280236,0
119,298912722,-1.580618,-43.496574,48.182178,-0.003931,-0.074804,-0.423243,0
120,298929389,-1.691312,-43.337742,48.025234,0.108000,-0.170230,-0.510230,0
121,298946056,-1.682762,-43.184566,47.812321,0.190195,-0.031401,-0.521077,0
122,298962723,-1.728798,-43.017765,47.598030,0.171710,-0.022589,-0.481196,0
123,298979390,-1.871286,-42.837559,47.394081,0.263402,-0.232244,-0.487597,0
124,298996057,-1.925151,-42.681973,47.218998,0.430840,-0.287005,-0.486993,0
125,299012724,-1.908392,-42.483639,47.061382,0.219825,-0.259524,-0.329561,0
126,299029391,-1.924565,-42.295624,46.930420,0.025935,-0.252973,-0.363908,0
127,299046058,-2.052776,-42.114483,46.828377,0.008699,-0.415724,-0.439768,0
128,299062725,-2.190711,-41.970642,46.740158,0.212238,-0.544138,-0.509558,0
129,299079392,-2.217566,-41.816032,46.661770,0.237780,-0.581990,-0.517123,0
130,299096059,-2.264053,-41.682953,46.601971,0.150224,-0.543598,-0.306264,0
131,299112726,-2.371881,-41.512978,46.563431,0.162622,-0.591274,-0.417761,0
132,299129393,-2.453043,-41.349670,46.551003,-0.003970,-0.539398,-0.489736,0
133,299146060,-2.587752,-41.196945,46.571373,-0.136304,-0.378185,-0.337975,0
134,299162727,-2.874199,-41.020573,46.596630,0.015611,-0.504135,-0.419469,0
135,299179394,-3.035115,-40.882866,46.601505,0.150564,-0.709698,-0.566333,0
136,299196061,-3.144868,-40.784538,46.602352,-0.027855,-0.719152,-0.581759,0
137,299212728,-3.265309,-40.728939,46.609009,0.134239,-0.574103,-0.550778,0
138,299229395,-3.260425,-40.669693,46.626034,-0.034287,-0.398866,-0.452881,0
